name,team,pos,age,rwpi_role,rwpi_off_score,rwpi_def_score,rwpi_score,cap_hit,true_value,value_gap,expiry_status,expiry_year,years_left,gp,player_id
Leo Carlsson,ANA,C,21.2485,Offensive Driver F,92.05748865355523,32.677760968229954,85.32526475037821,950000.0,7435200.41602071,6485200.41602071,UFA,2026.0,0.0,60.0,8484153
Nathan Gaucher,ANA,C,22.3874,Unknown,,,,886666.0,,,RFA,2027.0,1.0,59.0,8483444
Cutter Gauthier,ANA,L,22.1848,Offensive Driver F,93.19213313161876,31.164901664145233,85.9304084720121,950000.0,7479950.016125647,6529950.016125647,UFA,2026.0,0.0,71.0,8483445
Mikael Granlund,ANA,C,34.0808,Offensive Driver F,83.96369137670196,55.52193645990923,87.5945537065053,7000000.0,7601968.317832353,601968.3178323526,UFA,2028.0,2.0,48.0,8475798
Jansen Harkins,ANA,C,28.8433,Depth / Bottom-6 F,39.636913767019664,41.14977307110439,16.49016641452345,787500.0,1000000.0,212500.0,UFA,2026.0,0.0,44.0,8478424
Ross Johnston,ANA,L,32.1013,Depth / Bottom-6 F,34.79576399394856,10.59001512859304,3.6308623298033282,1100000.0,775000.0,-325000.0,UFA,2026.0,0.0,62.0,8477527
Alex Killorn,ANA,L,36.5311,Defensive / PK Forward,50.07564296520424,78.36611195158851,72.16338880484115,6250000.0,3250000.0,-3000000.0,UFA,2027.0,1.0,72.0,8473986
Chris Kreider,ANA,L,34.9076,Offensive Driver F,88.6535552193646,30.10590015128593,75.71860816944024,6500000.0,6697703.658011954,197703.65801195428,UFA,2027.0,1.0,66.0,8475184
Mason McTavish,ANA,C,23.154,Offensive Driver F,80.78668683812406,12.556732223903177,51.28593040847201,7000000.0,4592304.171140819,-2407695.828859181,UFA,2031.0,5.0,65.0,8482745
Ryan Poehling,ANA,C,27.2279,Defensive / PK Forward,49.62178517397882,92.8895612708018,94.55370650529501,3750000.0,3250000.0,-500000.0,UFA,2030.0,4.0,65.0,8480068
Beckett Sennecke,ANA,R,20.1588,Offensive Driver F,90.62027231467474,22.239031770045386,73.07110438729198,942500.0,6485495.354888282,5542995.354888282,RFA,2028.0,2.0,72.0,8484762
Troy Terry,ANA,R,28.5421,Offensive Driver F,88.35098335854765,30.71104387291982,75.34039334341907,7000000.0,6667625.253996661,-332374.74600333907,UFA,2030.0,4.0,51.0,8478873
Frank Vatrano,ANA,R,32.0356,Depth / Bottom-6 F,48.1089258698941,50.529500756429655,30.559757942511347,4571189.0,1650000.0,-2921189.0,UFA,2028.0,2.0,45.0,8478366
Jeffrey Viel,ANA,L,29.1581,Unknown,,,,775000.0,,,UFA,2026.0,0.0,10.0,8479705
Tim Washe,ANA,C,24.5859,Defensive / PK Forward,27.382753403933435,87.14069591527988,70.04538577912254,1750000.0,3250000.0,1500000.0,RFA,2028.0,2.0,29.0,8485512
John Carlson,ANA,D,36.2081,Offensive Defenseman,62.02723146747352,79.27382753403933,67.17095310136158,8000000.0,5500000.0,-2500000.0,UFA,2026.0,0.0,55.0,8474590
Radko Gudas,ANA,D,35.8084,Depth / 7th Defenseman,13.010590015128592,91.98184568835099,68.53252647503783,4000000.0,775000.0,-3225000.0,UFA,2026.0,0.0,54.0,8475462
Drew Helleson,ANA,D,25.0021,Depth / 7th Defenseman,8.925869894099849,68.07866868381241,32.9803328290469,1100000.0,775000.0,-325000.0,UFA,2027.0,1.0,53.0,8481563
Jackson LaCombe,ANA,D,25.2101,Offensive Defenseman,52.04236006051437,69.89409984871406,46.74735249621785,9000000.0,5500000.0,-3500000.0,UFA,2034.0,8.0,72.0,8481605
Pavel Mintyukov,ANA,D,22.3354,Shutdown Defenseman,29.500756429652043,88.35098335854765,83.96369137670196,918333.0,4000000.0,3081667.0,UFA,2026.0,0.0,67.0,8483490
Ian Moore,ANA,D,24.2245,Depth / 7th Defenseman,22.54160363086233,60.816944024205746,31.164901664145233,925000.0,775000.0,-150000.0,UFA,2026.0,0.0,57.0,8482178
Jacob Trouba,ANA,D,32.0794,Shutdown Defenseman,31.61875945537065,96.52042360060514,95.00756429652041,8000000.0,4000000.0,-4000000.0,UFA,2026.0,0.0,71.0,8476885
Olen Zellweger,ANA,D,22.5435,Depth / 7th Defenseman,32.9803328290469,61.57337367624811,37.67019667170953,844167.0,775000.0,-69167.0,UFA,2026.0,0.0,70.0,8482803
Viktor Arvidsson,BOS,L,32.9665,Depth / Bottom-6 F,91.83055975794251,10.43872919818457,49.319213313161875,4000000.0,1650000.0,-2350000.0,UFA,2026.0,0.0,60.0,8478042
Michael Eyssimont,BOS,C,29.5441,Depth / Bottom-6 F,74.28139183055976,33.43419062027231,46.4447806354009,1450000.0,1650000.0,200000.0,UFA,2027.0,1.0,52.0,8479591
Morgan Geekie,BOS,C,27.6851,Offensive Driver F,93.64599092284418,8.925869894099849,68.22995461422087,5500000.0,6087443.568504688,587443.5685046883,UFA,2031.0,5.0,71.0,8479987
Tanner Jeannot,BOS,L,28.8268,Defensive / PK Forward,61.11951588502269,84.56883509833585,91.83055975794251,3400000.0,3250000.0,-150000.0,UFA,2030.0,4.0,68.0,8479661
Mark Kastelic,BOS,C,27.0445,Defensive / PK Forward,57.791225416036305,96.8229954614221,99.39485627836612,1566667.0,3250000.0,1683333.0,UFA,2028.0,2.0,72.0,8480355
Marat Khusnutdinov,BOS,C,23.6934,Depth / Bottom-6 F,59.60665658093798,45.688350983358546,39.78819969742814,925000.0,1650000.0,725000.0,UFA,2027.0,1.0,67.0,8482177
Sean Kuraly,BOS,C,33.18,Defensive / PK Forward,30.257186081694403,97.73071104387292,91.52798789712556,1850000.0,3250000.0,1400000.0,UFA,2027.0,1.0,72.0,8476374
Elias Lindholm,BOS,C,31.3155,Offensive Driver F,71.25567322239031,5.143721633888049,34.79576399394856,7750000.0,2984927.079347577,-4765072.920652423,UFA,2031.0,5.0,59.0,8477496
Fraser Minten,BOS,C,21.7248,Defensive / PK Forward,62.178517397882,82.07261724659607,88.95612708018155,816666.0,3250000.0,2433334.0,RFA,2027.0,1.0,72.0,8483489
Casey Mittelstadt,BOS,C,27.3429,Depth / Bottom-6 F,73.67624810892586,13.918305597579424,32.22390317700454,5750000.0,1650000.0,-4100000.0,UFA,2027.0,1.0,62.0,8479999
David Pastrnak,BOS,R,29.8371,Offensive Driver F,95.61270801815431,18.608169440242055,80.33282904689864,11250000.0,7058297.285649073,-4191702.7143509267,UFA,2031.0,5.0,67.0,8477956
Lukas Reichel,BOS,L,23.8604,Unknown,,,,1200000.0,,,UFA,2026.0,0.0,5.0,8482117
Alex Steeves,BOS,C,26.2943,Depth / Bottom-6 F,72.76853252647504,60.363086232980336,66.71709531013616,1625000.0,1650000.0,25000.0,UFA,2028.0,2.0,41.0,8482634
Pavel Zacha,BOS,C,28.9719,Offensive Driver F,92.28441754916793,42.36006051437216,91.07413010590015,4750000.0,7852153.839031052,3102153.839031052,UFA,2027.0,1.0,69.0,8478401
Jonathan Aspirot,BOS,D,26.8638,Depth / 7th Defenseman,15.431164901664147,74.73524962178517,45.53706505295008,3658333.0,775000.0,-2883333.0,UFA,2028.0,2.0,51.0,8481219
Jordan Harris,BOS,D,25.7194,Unknown,,,,825000.0,,,UFA,2026.0,0.0,6.0,8480887
Henri Jokiharju,BOS,D,26.7762,Depth / 7th Defenseman,23.600605143721634,57.03479576399395,27.83661119515885,3000000.0,812500.0,-2187500.0,UFA,2028.0,2.0,37.0,8480035
Hampus Lindholm,BOS,D,32.1807,Shutdown Defenseman,25.86989409984871,91.83055975794251,87.44326777609682,6500000.0,4000000.0,-2500000.0,UFA,2030.0,4.0,58.0,8476854
Mason Lohrei,BOS,D,25.1882,Depth / 7th Defenseman,38.27534039334342,48.26021180030257,24.96217851739788,3200000.0,812500.0,-2387500.0,UFA,2027.0,1.0,67.0,8482511
Charlie McAvoy,BOS,D,28.2628,Offensive Defenseman,66.11195158850227,87.74583963691377,84.26626323751891,9500000.0,5500000.0,-4000000.0,UFA,2030.0,4.0,60.0,8479325
Andrew Peeke,BOS,D,28.0274,Shutdown Defenseman,8.623298033282904,97.2768532526475,86.9894099848714,2750000.0,4000000.0,1250000.0,UFA,2026.0,0.0,67.0,8479369
Nikita Zadorov,BOS,D,30.9459,Shutdown Defenseman,16.338880484114977,98.63842662632375,92.28441754916793,5000000.0,4000000.0,-1000000.0,UFA,2030.0,4.0,71.0,8477507
Zach Benson,BUF,L,20.8734,Offensive Driver F,81.99697428139183,43.72163388804841,74.28139183055976,950000.0,6582985.322416295,5632985.322416295,UFA,2026.0,0.0,56.0,8484145
Sam Carrick,BUF,C,34.141,Depth / Bottom-6 F,31.921331316187597,53.70650529500757,16.944024205748864,1000000.0,1000000.0,0.0,UFA,2027.0,1.0,60.0,8475842
Justin Danforth,BUF,R,33.0322,Unknown,,,,1800000.0,,,UFA,2027.0,1.0,4.0,8479941
Josh Doan,BUF,R,24.1478,Offensive Driver F,88.50226928895613,15.88502269288956,63.993948562783665,6950000.0,5728527.615312662,-1221472.384687338,UFA,2033.0,7.0,73.0,8482659
Josh Dunne,BUF,C,27.2991,Depth / Bottom-6 F,29.1981845688351,40.544629349470505,9.531013615733738,775000.0,775000.0,0.0,UFA,2026.0,0.0,31.0,8482623
Jordan Greenway,BUF,L,29.1061,Defensive / PK Forward,19.51588502269289,70.34795763993948,41.6036308623298,4000000.0,1100000.0,-2900000.0,UFA,2027.0,1.0,33.0,8478413
Tyson Kozak,BUF,C,23.2416,Depth / Bottom-6 F,16.49016641452345,65.80937972768533,11.497730711043873,775000.0,775000.0,0.0,RFA,2028.0,2.0,40.0,8482896
Peyton Krebs,BUF,C,25.1636,Depth / Bottom-6 F,74.13010590015129,43.872919818456886,54.53857791225416,1450000.0,1650000.0,200000.0,UFA,2026.0,0.0,73.0,8481522
Jiri Kulich,BUF,C,21.9493,Unknown,,,,886666.0,,,RFA,2027.0,1.0,12.0,8483468
Beck Malenstyn,BUF,L,28.1396,Defensive / PK Forward,29.652042360060516,97.88199697428139,91.37670196671709,1350000.0,3250000.0,1900000.0,UFA,2026.0,0.0,72.0,8479359
Ryan McLeod,BUF,C,26.5133,Defensive / PK Forward,67.62481089258698,75.79425113464447,83.05597579425114,5000000.0,3250000.0,-1750000.0,UFA,2029.0,3.0,73.0,8480802
Josh Norris,BUF,C,26.8939,Offensive Driver F,89.86384266263238,11.800302571860817,63.69137670196672,7950000.0,5702511.4529380025,-2247488.5470619975,UFA,2030.0,4.0,35.0,8480064
Noah Ostlund,BUF,C,22.0424,Depth / Bottom-6 F,63.086232980332824,16.036308623298034,23.29803328290469,975000.0,1000000.0,25000.0,RFA,2029.0,3.0,60.0,8483500
