feature,mean_abs_shap
length_of_contract,0.014729461
toi_per_g,0.005714761
age,0.0040422874
p60_24,0.0032217111
pp_pts,0.0025757204
draft_position,0.0016330833
a,0.0010330549
plus_minus_24,0.0008709723
shots,0.00087031117
gp_24,0.00083826756
shooting_pct_24,0.0007715225
year_of_contract,0.00070386054
pim,0.00060474384
gp,0.0005927512
plus_minus,0.0005600675
g60,0.00042329918
shooting_pct,0.00036166993
faceoff_pct,0.00027733902
draft_tier_undrafted,0.00012726527
pos_D,7.291956e-05
draft_tier_round1,7.265033e-05
pos_L,6.819098e-05
pos_C,5.6237383e-05
pos_R,5.5413642e-05
draft_tier_top_10,5.444135e-05
draft_tier_after1,4.052245e-05
expiry_status_RFA,1.8381683e-05
expiry_status_UFA,0.0
