name,age,draft_position,length_of_contract,year_of_contract,gp,a,toi_per_g,plus_minus,pim,pp_pts,shots,shooting_pct,faceoff_pct,g60,gp_24,plus_minus_24,p60_24,shooting_pct_24,pos_C,pos_D,pos_L,pos_R,expiry_status_RFA,expiry_status_UFA,draft_tier_after1,draft_tier_round1,draft_tier_top_10,draft_tier_undrafted
Leo Carlsson,-0.017049165,0.0032412289,-0.013714835,-0.00087702996,0.0,-0.0031781418,0.0057772314,-0.0002873608,-0.0009191544,0.000962555,-0.0023410006,0.0005346462,-0.0011306977,-0.0015202141,0.0,-0.0008357968,0.0010863127,0.0017085596,-1.8439665e-05,0.000258203,-1.893759e-05,-9.395579e-06,2.1894151e-05,0.0,-3.2019243e-06,-1.977397e-05,5.6333243e-05,2.5899091e-05
Cutter Gauthier,-0.015987428,0.0013762189,-0.014187796,-0.00040514427,0.0,0.00057353586,-0.001729729,-0.00014541572,0.00048167718,0.00132104,0.0024161546,-0.0010673936,1.9812996e-05,-0.0013636097,0.0,-0.0006499477,0.0026322892,-0.0010903442,-3.3461794e-05,7.9877565e-05,0.00023224033,-9.395579e-06,2.1894151e-05,0.0,-3.2019243e-06,-2.9039727e-05,5.1895346e-05,2.5899091e-05
Mikael Granlund,0.009558241,0.0030422083,-0.008466563,0.00059613574,0.0,0.002129399,0.010503142,0.0009293897,0.0007808699,0.005736587,0.0012868852,0.0010436034,0.00091228855,-0.0003472747,0.0,-0.0009946906,0.005737874,0.0030601537,8.702325e-06,0.00020662733,-4.8245092e-05,-2.0412113e-05,2.1894151e-05,0.0,-3.2019243e-06,-1.5949008e-06,5.1895346e-05,7.302133e-05
Jansen Harkins,0.0005341055,-0.00046090627,-0.010564082,0.00014041703,0.0,-0.0011770411,-0.008009995,6.92428e-05,0.0004834402,-0.0022177151,-0.00041098072,0.00016477404,-0.0006638267,2.4958053e-05,0.0,3.2132375e-05,-0.0049250303,-9.379144e-05,-7.764711e-05,0.00011194259,-4.0519986e-05,-3.845284e-05,7.024306e-06,0.0,4.0654413e-06,-7.362586e-06,-1.9281451e-05,-1.0828387e-05
Ross Johnston,0.00042729356,-0.0038367168,0.0065403767,0.00044759797,0.0,-0.0033956284,-0.008592057,-0.00023084873,0.00030492447,-0.0036166727,-0.0006444058,0.00015405825,0.0001545031,0.00029049284,0.0,4.0397535e-05,-0.0038784642,-0.0014161334,0.00010881242,-3.8841652e-05,0.00022053215,-3.845284e-05,6.281256e-06,0.0,-1.9708464e-06,-8.98609e-06,-1.9281451e-05,-0.00027768317
Alex Killorn,0.008461118,-0.0007019249,0.0074365716,0.000846599,0.0,0.00070724095,-8.97471e-05,0.00068349566,-0.000764949,-0.0010466694,0.00147441,0.00035826702,0.00026146087,0.00011336677,0.0,-0.00038081143,-0.00019638026,0.0040717646,8.1665996e-05,-5.7872945e-05,0.00023224033,-7.970619e-05,2.1894151e-05,0.0,7.7647404e-05,3.3258962e-06,-2.4032564e-05,6.266424e-05
Chris Kreider,0.0049243467,-0.00038657253,0.024836581,-0.0010651335,0.0,-0.00024792628,-0.001215589,0.0003863048,-0.0005231598,0.002470188,0.0009982013,-0.0008284383,0.00020024099,-0.00082181866,0.0,5.056098e-05,-1.475758e-05,0.0038914687,3.6290076e-05,-4.1181993e-05,0.00023224033,-2.8375991e-05,2.1894151e-05,0.0,-1.9708464e-06,5.536848e-05,-1.5859236e-05,6.1937106e-05
Mason McTavish,-0.0054060104,0.0031825937,0.024905033,0.00036042155,0.0,0.00034239003,-0.0013861937,0.0012271443,-0.0007963757,0.003704606,0.0019210042,-0.00043478556,0.00080449507,-8.2960556e-05,0.0,0.00012618242,0.0046909475,0.00037804013,-1.3757039e-05,2.316882e-05,-4.8245092e-05,-1.6113443e-05,2.1894151e-05,0.0,-3.2019243e-06,-4.2015836e-06,5.1895346e-05,4.846383e-05
Ryan Poehling,0.0012535753,0.0002137235,-0.008872031,0.00016551292,0.0,0.0013018276,-0.0014264606,-0.0007016893,-0.00038955256,-0.0022444713,-0.00031111605,-0.00030747423,7.965236e-05,-3.3387143e-05,0.0,-0.00032959788,0.0037328333,-0.00013001368,-5.5451863e-05,4.4505345e-05,-3.5722547e-05,-3.8968414e-05,1.46998655e-05,0.0,-1.9708464e-06,-7.099285e-05,-2.6868389e-05,6.6536224e-05
Beckett Sennecke,-0.014249377,0.0006168237,-0.014468427,0.0003550216,0.0,0.0014061618,-0.0007791391,0.00066297164,0.0011617353,0.00043373206,-6.690918e-05,-0.00021925505,-1.946636e-06,-0.0005990892,0.0,-0.0003381773,-0.0016115722,-0.0008504522,3.176413e-05,6.291261e-05,-4.8245092e-05,0.00010873165,-0.00018889071,0.0,-3.2019243e-06,-1.7939805e-05,5.1895346e-05,2.3942524e-05
